Index,Year,"Rank Order","Country code",Country or Area,City code,Urban Agglomeration,Note,Latitude,Longitude,Population (millions)
1,1950,1,840,United States of America,23083,New York-Newark,,40.7170,-74.0037,12.3 384 71 0
2,1950,2,392,Japan,21671,Tokyo,1,35.6895,139.6917,11.2 746 41 0
3,1950,3,826,United Kingdom,22860,London,2,51.5085,-0.1257,8.3 608 47 0
4,1950,4,392,Japan,206459,Kinki M.M.A. (Osaka),3,34.6758,135.5538,7.0 052 84 0
5,1950,5,250,France,20985,Paris,,48.8534,2.3488,6.2 830 18 0
6,1950,6,643,Russian Federation,22299,Moskva (Moscow),,55.7550,37.6218,5.3 563 92 0
7,1950,7,32,Argentina,20058,Buenos Aires,4,-34.6051,-58.4004,5.1 661 4 0
8,1950,8,840,United States of America,22956,Chicago,,41.8500,-87.6501,4.9 990 6 0
9,1950,9,356,India,21211,Kolkata (Calcutta),,22.5335,88.3560,4.6 041 43 0
10,1950,10,156,China,20656,Shanghai,5,31.2222,121.4581,4.2 880 91 0
11,1950,11,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,,34.0317,-118.2417,4.0 455 14 0
12,1950,12,484,Mexico,21853,Ciudad de Mexico (Mexico City),6,19.4273,-99.1419,3.3 650 81 0
13,1950,13,276,Germany,204296,Berlin,,52.5244,13.4105,3.3 376 21 0
14,1950,14,840,United States of America,23098,Philadelphia,,39.9523,-75.1638,3.1 278 06 0
15,1950,15,356,India,21206,Mumbai (Bombay),,19.0740,72.8808,3.0 888 11 0
16,1950,16,76,Brazil,20272,Rio de Janeiro,,-22.9028,-43.2075,3.0 261 95 0
17,1950,17,643,Russian Federation,22365,Sankt Peterburg (Saint Petersburg),,59.9299,30.3262,2.9 027 89 0
18,1950,18,840,United States of America,22974,Detroit,,42.3871,-83.1026,2.7 692 54 0
19,1950,19,840,United States of America,22939,Boston,,42.3479,-71.0645,2.5 508 18 0
20,1950,20,818,Egypt,22812,Al-Qahirah (Cairo),7,30.0392,31.2394,2.4 935 14 0
21,1950,21,156,China,20689,Tianjin,5,39.1088,117.1886,2.4 670 96 0
22,1950,22,826,United Kingdom,22862,Manchester,8,53.4810,-2.2374,2.4 222 46 0
23,1950,23,76,Brazil,20287,Sao Paulo,,-23.5475,-46.6361,2.3 340 38 0
24,1950,24,392,Japan,204583,Chukyo M.M.A. (Nagoya),,35.1815,136.9064,2.2 368 78 0
25,1950,25,826,United Kingdom,22835,Birmingham (West Midlands),8,52.4814,-1.8998,2.2 289 15 0
26,1950,26,156,China,20666,Shenyang,5,41.7922,123.4328,2.1 475 22 0
27,1950,27,380,Italy,21588,Roma (Rome),9,41.8947,12.4811,1.8 840 65 0
28,1950,28,380,Italy,21571,Milano (Milan),10,45.5531,9.1834,1.8 834 2 0
29,1950,29,840,United States of America,23130,San Francisco-Oakland,,37.7599,-122.4374,1.8 552 07 0
